Timestamp,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Weather Description,Rain 1h,Snow 1h
2024-01-26 00:00:00,-0.51,-0.51,1026,90,0.89,45,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 01:00:00,-0.62,-0.62,1026,89,0.45,68,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 02:00:00,-0.66,-3.74,1026,89,2.44,77,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 03:00:00,-0.74,-3.65,1026,89,2.27,66,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 04:00:00,-0.56,-0.56,1026,88,0.89,68,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 05:00:00,-0.87,-4.63,1025,87,3.09,30,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 06:00:00,-0.93,-4.2,1024,88,2.57,40,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 07:00:00,-1.06,-6.01,1024,89,4.63,40,100,Mist,mist,0.0,0.0
2024-01-26 08:00:00,-1.14,-1.14,1023,89,0.45,45,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 09:00:00,-1.07,-7.38,1021,88,7.2,50,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 10:00:00,-1.14,-2.78,1020,90,1.34,45,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 11:00:00,-1.27,-7.4,1020,94,6.69,20,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 12:00:00,-1.32,-7.21,1019,94,6.17,20,100,Mist,mist,0.0,0.0
2024-01-26 13:00:00,-0.96,-7.01,1020,94,6.69,30,100,Mist,mist,0.0,0.0
2024-01-26 14:00:00,-0.56,-6.94,1019,96,7.72,40,100,Mist,mist,0.0,0.0
2024-01-26 15:00:00,-0.68,-6.88,1019,95,7.2,40,100,Mist,mist,0.0,0.0
2024-01-26 16:00:00,-0.66,-7.47,1019,95,8.75,40,100,Snow,snow,0.0,1.74
2024-01-26 17:00:00,-0.21,-4.62,1018,95,4.12,30,100,Snow,snow,0.0,3.65
2024-01-26 18:00:00,-0.3,-6.16,1018,95,6.69,40,100,Snow,light rain and snow,0.0,0.51
2024-01-26 19:00:00,-0.53,-6.46,1018,95,6.69,20,100,Snow,snow,0.0,0.51
2024-01-26 20:00:00,-0.61,-7.21,1018,95,8.23,20,100,Snow,snow,0.0,1.72
2024-01-26 21:00:00,-0.55,-5.69,1018,94,5.14,30,100,Snow,light snow,0.0,0.5
2024-01-26 22:00:00,-0.8,-7.03,1019,94,7.2,30,100,Clouds,overcast clouds,0.0,0.0
2024-01-26 23:00:00,-0.94,-5.52,1020,94,4.12,20,100,Clouds,overcast clouds,0.0,0.0
2024-04-02 00:00:00,3.13,3.13,1019,78,0.89,90,88,Clouds,overcast clouds,0.0,0.0
2024-04-02 01:00:00,2.18,-1.34,1020,80,3.6,80,0,Clear,clear sky,0.0,0.0
