Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number,Timestamp,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Weather Description,Rain 1h,Snow 1h
landed,YUL,A63,DXB,2024-04-08 10:00:00,2024-04-08 10:00:00,8.0,Emirates,EK244,2024-04-08 10:00:00,1.84,-0.91,1020,79,2.57,250,0,Clear,clear sky,0.0,0.0
landed,YUL,C82,EWR,2024-04-08 08:00:00,2024-04-08 08:00:00,28.0,Air Canada,AC8938,2024-04-08 08:00:00,3.03,3.03,1020,76,1.1,222,0,Clear,clear sky,0.0,0.0
landed,YUL,C83,EWR,2024-04-08 13:00:00,2024-04-08 13:00:00,10.0,Air Canada,AC8940,2024-04-08 13:00:00,6.85,6.85,1021,69,0.89,248,0,Clear,clear sky,0.0,0.0
landed,YUL,C84,EWR,2024-04-08 15:00:00,2024-04-08 15:00:00,22.0,Air Canada,AC8942,2024-04-08 15:00:00,11.15,9.78,1020,56,0.45,225,0,Clear,clear sky,0.0,0.0
active,YUL,C84,EWR,2024-04-08 20:00:00,,122.0,Air Canada,AC8946,2024-04-08 20:00:00,15.78,14.38,1016,37,0.89,225,99,Clouds,overcast clouds,0.0,0.0
active,YUL,,EWR,2024-04-08 20:00:00,2024-04-08 22:00:00,121.0,Air Canada,AC946,2024-04-08 20:00:00,15.78,14.38,1016,37,0.89,225,99,Clouds,overcast clouds,0.0,0.0
scheduled,YUL,,EWR,2024-04-08 20:00:00,,75.0,Jazz,QK946,2024-04-08 20:00:00,15.78,14.38,1016,37,0.89,225,99,Clouds,overcast clouds,0.0,0.0
landed,YUL,C80,EWR,2024-04-08 06:00:00,2024-04-08 06:00:00,12.0,United Airlines,UA3456,2024-04-08 06:00:00,3.79,3.79,1020,75,0.87,288,1,Clear,clear sky,0.0,0.0
landed,YUL,C83,EWR,2024-04-08 18:00:00,2024-04-08 19:00:00,66.0,United Airlines,UA3626,2024-04-08 18:00:00,16.72,15.36,1018,35,2.68,270,2,Clear,clear sky,0.0,0.0
landed,YUL,C80,EWR,2024-04-08 11:00:00,2024-04-08 11:00:00,31.0,United Airlines,UA3680,2024-04-08 11:00:00,1.95,0.64,1020,81,1.39,231,0,Clear,clear sky,0.0,0.0
landed,YUL,A55,FDF,2024-04-08 09:00:00,2024-04-08 09:00:00,13.0,Air Canada,AC954,2024-04-08 09:00:00,2.08,0.85,1020,80,1.35,227,0,Clear,clear sky,0.0,0.0
landed,YUL,C56,FLL,2024-04-08 08:00:00,2024-04-08 09:00:00,23.0,Air Canada,AC1002,2024-04-08 08:00:00,3.03,3.03,1020,76,1.1,222,0,Clear,clear sky,0.0,0.0
landed,YUL,C73,FLL,2024-04-08 14:00:00,2024-04-08 15:00:00,71.0,Air Canada,AC1004,2024-04-08 14:00:00,9.16,9.16,1020,61,0.89,270,0,Clear,clear sky,0.0,0.0
landed,YUL,C83,FLL,2024-04-08 11:00:00,2024-04-08 11:00:00,16.0,Flair Airlines,F81100,2024-04-08 11:00:00,1.95,0.64,1020,81,1.39,231,0,Clear,clear sky,0.0,0.0
landed,YUL,C76,FLL,2024-04-08 07:00:00,2024-04-08 08:00:00,20.0,Air Canada Rouge,RV1600,2024-04-08 07:00:00,2.93,2.93,1020,78,0.65,270,0,Clear,clear sky,0.0,0.0
landed,YUL,C77,FLL,2024-04-08 16:00:00,2024-04-08 17:00:00,76.0,Air Canada Rouge,RV1606,2024-04-08 16:00:00,13.44,12.15,1019,50,1.79,270,0,Clear,clear sky,0.0,0.0
landed,YUL,C83,FLL,2024-04-08 06:00:00,2024-04-08 06:00:00,15.0,Air Transat,TS2844,2024-04-08 06:00:00,3.79,3.79,1020,75,0.87,288,1,Clear,clear sky,0.0,0.0
