Departure IATA Code,Arrival IATA Code,latitude,longitude,flt_distance
yul,lhr,51.4775,-0.461389,5214.557866359272
yul,cdg,49.0097,2.54778,5524.104367247396
yul,ams,52.3086,4.76389,5503.767167822246
yul,yyz,43.6797,-79.6227,505.96822015635644
yul,las,36.0801,-115.152,3595.5601700930615
yul,yyc,51.1139,-114.02,3005.4571757116023
yul,ord,41.9786,-87.9047,1200.1603747763534
yul,dca,38.8522,-77.0378,783.6765204254871
yul,ywg,49.91,-97.2399,1818.2516594890117
yul,lga,40.775,-73.875,521.6884400686853
yul,ewr,40.6925,-74.1686,531.865279872643
yul,yhz,44.8808,-63.5086,804.5385349196378
yul,lys,45.7256,5.08111,5865.779324988834
yul,tls,43.6291,1.36382,5728.328214842227
yul,gva,46.2381,6.10895,5905.664881684904
yul,del,28.5665,77.1031,11271.410926114855
yul,cmn,33.3675,-7.58997,5674.840753761386
yul,nte,47.1532,-1.61073,5338.966230261943
yul,yeg,,,
yul,yow,45.3225,-75.6692,151.04831418160043
yul,yfc,45.8689,-66.5372,561.7244987560172
yul,yqm,46.1122,-64.6786,706.2926422478004
yul,doh,25.2731,51.6081,10406.859352548225
yul,fco,41.8003,12.2389,6584.993697285641
yul,ytz,43.6285,-79.396,492.02848820075474
yul,yvr,49.1939,-123.184,3682.043624620617
yul,gru,,,
yul,yyt,47.6186,-52.7519,1618.2739262706027
yul,yyt,47.6186,-52.7525,1618.2289584005396
yul,lis,38.7813,-9.13592,5235.673716316905
yul,yqb,46.7911,-71.3933,233.60160117908669
yul,ist,41.2753,28.7519,7687.390795701509
yul,lim,-12.0219,-77.1143,6401.289674473477
yul,mex,19.4363,-99.0721,3712.1437285436987
yul,dtw,42.2125,-83.3533,850.5181339095707
yul,pop,19.7579,-70.57,2873.43000282658
yul,tpa,27.9755,-82.5332,2093.464689451559
yul,fll,26.0726,-80.1527,2230.687033499919
yul,sxm,18.041,-63.1089,3204.373813418693
yul,mco,28.4294,-81.309,2007.7537788286409
yul,fpo,26.5587,-78.6956,2147.894919516891
yul,vra,23.0344,-81.4353,2589.441877978072
yul,mia,25.7932,-80.2906,2264.086980416145
yul,atl,33.6367,-84.4281,1599.6469920535349
yul,msp,44.882,-93.2218,1524.3450925180493
yul,mbj,18.5037,-77.9134,3022.6637278391604
