Status,Departure Gate,Arrival IATA Code,Scheduled Departure Time,Departure Delay (min),Airline Name,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Rain 1h,Snow 1h
landed,A63,DXB,2024-04-08 10:00:00,8.0,Emirates,1.84,-0.91,1020,79,2.57,250,0,Clear,0.0,0.0
landed,C82,EWR,2024-04-08 08:00:00,28.0,Air Canada,3.03,3.03,1020,76,1.1,222,0,Clear,0.0,0.0
landed,C83,EWR,2024-04-08 13:00:00,10.0,Air Canada,6.85,6.85,1021,69,0.89,248,0,Clear,0.0,0.0
landed,C84,EWR,2024-04-08 15:00:00,22.0,Air Canada,11.15,9.78,1020,56,0.45,225,0,Clear,0.0,0.0
active,C84,EWR,2024-04-08 20:00:00,122.0,Air Canada,15.78,14.38,1016,37,0.89,225,99,Clouds,0.0,0.0
active,,EWR,2024-04-08 20:00:00,121.0,Air Canada,15.78,14.38,1016,37,0.89,225,99,Clouds,0.0,0.0
scheduled,,EWR,2024-04-08 20:00:00,75.0,Jazz,15.78,14.38,1016,37,0.89,225,99,Clouds,0.0,0.0
landed,C80,EWR,2024-04-08 06:00:00,12.0,United Airlines,3.79,3.79,1020,75,0.87,288,1,Clear,0.0,0.0
landed,C83,EWR,2024-04-08 18:00:00,66.0,United Airlines,16.72,15.36,1018,35,2.68,270,2,Clear,0.0,0.0
landed,C80,EWR,2024-04-08 11:00:00,31.0,United Airlines,1.95,0.64,1020,81,1.39,231,0,Clear,0.0,0.0
landed,A55,FDF,2024-04-08 09:00:00,13.0,Air Canada,2.08,0.85,1020,80,1.35,227,0,Clear,0.0,0.0
landed,C56,FLL,2024-04-08 08:00:00,23.0,Air Canada,3.03,3.03,1020,76,1.1,222,0,Clear,0.0,0.0
landed,C73,FLL,2024-04-08 14:00:00,71.0,Air Canada,9.16,9.16,1020,61,0.89,270,0,Clear,0.0,0.0
landed,C83,FLL,2024-04-08 11:00:00,16.0,Flair Airlines,1.95,0.64,1020,81,1.39,231,0,Clear,0.0,0.0
landed,C76,FLL,2024-04-08 07:00:00,20.0,Air Canada Rouge,2.93,2.93,1020,78,0.65,270,0,Clear,0.0,0.0
landed,C77,FLL,2024-04-08 16:00:00,76.0,Air Canada Rouge,13.44,12.15,1019,50,1.79,270,0,Clear,0.0,0.0
landed,C83,FLL,2024-04-08 06:00:00,15.0,Air Transat,3.79,3.79,1020,75,0.87,288,1,Clear,0.0,0.0
landed,C85,FLL,2024-04-08 16:00:00,21.0,Air Transat,13.44,12.15,1019,50,1.79,270,0,Clear,0.0,0.0
scheduled,A58,FRA,2024-04-08 18:00:00,106.0,Air Canada,16.72,15.36,1018,35,2.68,270,2,Clear,0.0,0.0
landed,A59,FRA,2024-04-08 18:00:00,33.0,Lufthansa,16.72,15.36,1018,35,2.68,270,2,Clear,0.0,0.0
landed,A57,GUA,2024-04-08 21:00:00,30.0,Flair Airlines,16.75,15.39,1016,35,3.13,248,99,Clouds,0.0,0.0
scheduled,A56,HOG,2024-04-08 15:00:00,43.0,Air Transat,11.15,9.78,1020,56,0.45,225,0,Clear,0.0,0.0
active,A59,HOG,2024-04-08 07:00:00,44.0,Sunwing,2.93,2.93,1020,78,0.65,270,0,Clear,0.0,0.0
landed,C88,IAD,2024-04-08 18:00:00,32.0,Air Canada,16.72,15.36,1018,35,2.68,270,2,Clear,0.0,0.0
landed,C80,IAD,2024-04-08 13:00:00,27.0,United Airlines,6.85,6.85,1021,69,0.89,248,0,Clear,0.0,0.0
landed,C80,IAD,2024-04-08 09:00:00,16.0,United Airlines,2.08,0.85,1020,80,1.35,227,0,Clear,0.0,0.0
landed,C85,IAH,2024-04-08 09:00:00,11.0,Air Canada,2.08,0.85,1020,80,1.35,227,0,Clear,0.0,0.0
landed,C76,JFK,2024-04-08 19:00:00,21.0,Air Canada,17.42,16.08,1017,33,2.68,270,98,Clouds,0.0,0.0
landed,C85,JFK,2024-04-08 18:00:00,28.0,Delta Air Lines,16.72,15.36,1018,35,2.68,270,2,Clear,0.0,0.0
landed,C86,JFK,2024-04-08 12:00:00,19.0,Delta Air Lines,4.38,2.88,1021,76,1.79,270,0,Clear,0.0,0.0
landed,C58,LAS,2024-04-08 08:00:00,36.0,Air Canada,3.03,3.03,1020,76,1.1,222,0,Clear,0.0,0.0
landed,C77,LAS,2024-04-08 19:00:00,61.0,Air Canada,17.42,16.08,1017,33,2.68,270,98,Clouds,0.0,0.0
unknown,,LAS,2024-04-08 09:00:00,,Delta Air Lines,2.08,0.85,1020,80,1.35,227,0,Clear,0.0,0.0
landed,C83,LAX,2024-04-08 18:00:00,53.0,Air Canada,16.72,15.36,1018,35,2.68,270,2,Clear,0.0,0.0
landed,C81,LGA,2024-04-08 10:00:00,21.0,American Airlines,1.84,-0.91,1020,79,2.57,250,0,Clear,0.0,0.0
landed,C81,LGA,2024-04-08 17:00:00,30.0,American Airlines,15.61,14.24,1019,39,2.24,203,0,Clear,0.0,0.0
landed,,LGA,2024-04-08 20:00:00,17.0,Air Canada,15.78,14.38,1016,37,0.89,225,99,Clouds,0.0,0.0
landed,C73,LGA,2024-04-08 06:00:00,21.0,Air Canada,3.79,3.79,1020,75,0.87,288,1,Clear,0.0,0.0
landed,C83,LGA,2024-04-08 08:00:00,20.0,Air Canada,3.03,3.03,1020,76,1.1,222,0,Clear,0.0,0.0
landed,C73,LGA,2024-04-08 10:00:00,24.0,Air Canada,1.84,-0.91,1020,79,2.57,250,0,Clear,0.0,0.0
landed,C81,LGA,2024-04-08 13:00:00,28.0,Air Canada,6.85,6.85,1021,69,0.89,248,0,Clear,0.0,0.0
landed,C79,LGA,2024-04-08 15:00:00,18.0,Air Canada,11.15,9.78,1020,56,0.45,225,0,Clear,0.0,0.0
landed,C82,LGA,2024-04-08 17:00:00,31.0,Air Canada,15.61,14.24,1019,39,2.24,203,0,Clear,0.0,0.0
active,A64,DOH,2024-04-18 21:00:00,19.0,Qatar Airways,6.37,4.06,1020,92,3.13,135,100,Clouds,0.0,0.0
landed,C73,DTW,2024-04-18 13:00:00,4.0,Air Canada,8.61,7.05,1018,59,2.68,90,100,Clouds,0.0,0.0
landed,C84,DTW,2024-04-18 13:00:00,29.0,Delta Air Lines,8.61,7.05,1018,59,2.68,90,100,Clouds,0.0,0.0
landed,C84,DTW,2024-04-18 17:00:00,45.0,Delta Air Lines,8.59,7.74,1019,78,1.79,135,100,Clouds,0.0,0.0
landed,C88,DTW,2024-04-18 07:00:00,7.0,Delta Air Lines,5.51,4.18,1019,65,1.79,45,100,Clouds,0.0,0.0
scheduled,A63,DXB,2024-04-18 10:00:00,79.0,Emirates,4.3,2.79,1018,69,1.79,45,100,Clouds,0.0,0.0
scheduled,,EWR,2024-04-18 20:00:00,45.0,empty,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
landed,C80,EWR,2024-04-18 08:00:00,12.0,Air Canada,4.94,2.68,1018,67,2.68,45,100,Clouds,0.0,0.0
landed,C79,EWR,2024-04-18 13:00:00,28.0,Air Canada,8.61,7.05,1018,59,2.68,90,100,Clouds,0.0,0.0
landed,C73,EWR,2024-04-18 15:00:00,67.0,Air Canada,10.48,9.31,1019,66,1.79,158,100,Clouds,0.0,0.0
scheduled,C80,EWR,2024-04-18 20:00:00,56.0,Air Canada,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
landed,,EWR,2024-04-18 20:00:00,55.0,Air Canada,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
active,,EWR,2024-04-18 20:00:00,40.0,Jazz,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
landed,C82,EWR,2024-04-18 06:00:00,38.0,United Airlines,6.04,3.67,1019,64,3.13,68,100,Clouds,0.0,0.0
landed,C80,EWR,2024-04-18 18:00:00,72.0,United Airlines,7.4,5.3,1020,86,3.13,135,100,Rain,2.13,0.0
landed,C84,EWR,2024-04-18 11:00:00,17.0,United Airlines,4.48,2.99,1018,69,1.79,23,100,Clouds,0.0,0.0
landed,A51,FCO,2024-04-18 19:00:00,24.0,Air Canada,6.87,5.75,1020,89,1.79,135,100,Rain,0.42,0.0
landed,A67,FDF,2024-04-18 09:00:00,21.0,Air Canada,4.68,3.22,1018,68,1.79,68,100,Clouds,0.0,0.0
landed,A67,FDF,2024-04-18 07:00:00,6.0,Air Transat,5.51,4.18,1019,65,1.79,45,100,Clouds,0.0,0.0
landed,C56,FLL,2024-04-18 08:00:00,14.0,Air Canada,4.94,2.68,1018,67,2.68,45,100,Clouds,0.0,0.0
landed,C56,FLL,2024-04-18 14:00:00,14.0,Air Canada,10.23,8.85,1019,59,1.34,90,100,Clouds,0.0,0.0
landed,C83,FLL,2024-04-18 11:00:00,26.0,Flair Airlines,4.48,2.99,1018,69,1.79,23,100,Clouds,0.0,0.0
landed,C76,FLL,2024-04-18 07:00:00,19.0,Air Canada Rouge,5.51,4.18,1019,65,1.79,45,100,Clouds,0.0,0.0
landed,C75,FLL,2024-04-18 16:00:00,9.0,Air Canada Rouge,9.73,8.69,1019,70,2.24,135,100,Clouds,0.0,0.0
landed,C56,FLL,2024-04-18 06:00:00,4.0,Air Transat,6.04,3.67,1019,64,3.13,68,100,Clouds,0.0,0.0
landed,C83,FLL,2024-04-18 16:00:00,39.0,Air Transat,9.73,8.69,1019,70,2.24,135,100,Clouds,0.0,0.0
landed,A58,FRA,2024-04-18 18:00:00,36.0,Air Canada,7.4,5.3,1020,86,3.13,135,100,Rain,2.13,0.0
