Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a63,63,2024-01-20t19:05:00.000,2024-01-20t20:08:00.000,,cdg,2e,2024-01-21t08:05:00.000,,delta air lines,8612,dl8612
departure,active,yul,a1,37,2024-01-20t19:10:00.000,2024-01-20t19:05:00.000,2024-01-20t19:46:00.000,yyz,1,2024-01-20t20:46:00.000,2024-01-20t20:40:00.000,azul,7807,ad7807
departure,active,yul,a6,21,2024-01-20t19:25:00.000,2024-01-20t19:46:00.000,,yyz,3,2024-01-20t21:00:00.000,,air transat,7730,ts7730
departure,active,yul,a56,38,2024-01-20t19:40:00.000,2024-01-20t19:40:00.000,2024-01-20t20:18:00.000,lhr,2,2024-01-21t07:10:00.000,2024-01-21t07:13:00.000,aegean airlines,3089,a33089
departure,active,yul,a47,41,2024-01-20t19:45:00.000,2024-01-20t20:26:00.000,,yyc,,2024-01-20t22:43:00.000,,lufthansa,6844,lh6844
departure,active,yul,c86,21,2024-01-20t19:45:00.000,2024-01-20t20:06:00.000,,ord,2,2024-01-20t21:23:00.000,,united airlines,8687,ua8687
departure,active,yul,c88,25,2024-01-20t19:50:00.000,2024-01-20t20:15:00.000,,dca,1,2024-01-20t21:45:00.000,,united airlines,8366,ua8366
departure,active,yul,a7,35,2024-01-20t20:00:00.000,2024-01-20t20:35:00.000,,ywg,,2024-01-20t22:17:00.000,,lufthansa,6556,lh6556
departure,active,yul,c77,28,2024-01-20t20:00:00.000,2024-01-20t20:28:00.000,,lga,b,2024-01-20t21:38:00.000,,united airlines,8400,ua8400
departure,active,yul,c74,41,2024-01-20t20:00:00.000,2024-01-20t20:41:00.000,,ewr,a,2024-01-20t21:44:00.000,,tap air portugal,8069,tp8069
departure,cancelled,yul,a5,0,2024-01-20t20:10:00.000,2024-01-20t20:10:00.000,,yyz,1,2024-01-20t21:46:00.000,,eva air,3089,br3089
