Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,A63,DXB,2024-04-08T10:20:00+00:00,2024-04-08T10:28:00+00:00,8.0,Emirates,EK244
landed,YUL,C82,EWR,2024-04-08T08:15:00+00:00,2024-04-08T08:43:00+00:00,28.0,Air Canada,AC8938
landed,YUL,C83,EWR,2024-04-08T13:10:00+00:00,2024-04-08T13:20:00+00:00,10.0,Air Canada,AC8940
landed,YUL,C84,EWR,2024-04-08T15:10:00+00:00,2024-04-08T15:32:00+00:00,22.0,Air Canada,AC8942
active,YUL,C84,EWR,2024-04-08T20:00:00+00:00,,122.0,Air Canada,AC8946
active,YUL,,EWR,2024-04-08T20:01:00+00:00,2024-04-08T22:02:00+00:00,121.0,Air Canada,AC946
scheduled,YUL,,EWR,2024-04-08T20:01:00+00:00,,75.0,Jazz,QK946
landed,YUL,C80,EWR,2024-04-08T06:00:00+00:00,2024-04-08T06:12:00+00:00,12.0,United Airlines,UA3456
landed,YUL,C83,EWR,2024-04-08T18:30:00+00:00,2024-04-08T19:35:00+00:00,66.0,United Airlines,UA3626
landed,YUL,C80,EWR,2024-04-08T11:00:00+00:00,2024-04-08T11:31:00+00:00,31.0,United Airlines,UA3680
landed,YUL,A55,FDF,2024-04-08T09:00:00+00:00,2024-04-08T09:12:00+00:00,13.0,Air Canada,AC954
landed,YUL,C56,FLL,2024-04-08T08:55:00+00:00,2024-04-08T09:17:00+00:00,23.0,Air Canada,AC1002
landed,YUL,C73,FLL,2024-04-08T14:10:00+00:00,2024-04-08T15:21:00+00:00,71.0,Air Canada,AC1004
landed,YUL,C83,FLL,2024-04-08T11:10:00+00:00,2024-04-08T11:26:00+00:00,16.0,Flair Airlines,F81100
landed,YUL,C76,FLL,2024-04-08T07:45:00+00:00,2024-04-08T08:04:00+00:00,20.0,Air Canada Rouge,RV1600
landed,YUL,C77,FLL,2024-04-08T16:20:00+00:00,2024-04-08T17:35:00+00:00,76.0,Air Canada Rouge,RV1606
landed,YUL,C83,FLL,2024-04-08T06:30:00+00:00,2024-04-08T06:45:00+00:00,15.0,Air Transat,TS2844
landed,YUL,C85,FLL,2024-04-08T16:25:00+00:00,2024-04-08T16:46:00+00:00,21.0,Air Transat,TS846
scheduled,YUL,A58,FRA,2024-04-08T18:45:00+00:00,2024-04-08T20:30:00+00:00,106.0,Air Canada,AC844
landed,YUL,A59,FRA,2024-04-08T18:00:00+00:00,2024-04-08T18:32:00+00:00,33.0,Lufthansa,LH479
landed,YUL,A57,GUA,2024-04-08T21:28:00+00:00,2024-04-08T21:58:00+00:00,30.0,Flair Airlines,F87201
scheduled,YUL,A56,HOG,2024-04-08T15:10:00+00:00,2024-04-08T15:52:00+00:00,43.0,Air Transat,TS358
active,YUL,A59,HOG,2024-04-08T07:00:00+00:00,2024-04-08T07:44:00+00:00,44.0,Sunwing,WG6146
landed,YUL,C88,IAD,2024-04-08T18:35:00+00:00,2024-04-08T19:06:00+00:00,32.0,Air Canada,AC8725
landed,YUL,C80,IAD,2024-04-08T13:57:00+00:00,2024-04-08T14:24:00+00:00,27.0,United Airlines,UA3414
landed,YUL,C80,IAD,2024-04-08T09:30:00+00:00,2024-04-08T09:45:00+00:00,16.0,United Airlines,UA3590
landed,YUL,C85,IAH,2024-04-08T09:50:00+00:00,2024-04-08T10:00:00+00:00,11.0,Air Canada,AC581
landed,YUL,C76,JFK,2024-04-08T19:30:00+00:00,2024-04-08T19:51:00+00:00,21.0,Air Canada,AC8898
landed,YUL,C85,JFK,2024-04-08T18:35:00+00:00,2024-04-08T19:02:00+00:00,28.0,Delta Air Lines,DL5151
landed,YUL,C86,JFK,2024-04-08T12:05:00+00:00,2024-04-08T12:24:00+00:00,19.0,Delta Air Lines,DL5425
landed,YUL,C58,LAS,2024-04-08T08:15:00+00:00,2024-04-08T08:51:00+00:00,36.0,Air Canada,AC1273
landed,YUL,C77,LAS,2024-04-08T19:55:00+00:00,2024-04-08T20:56:00+00:00,61.0,Air Canada,AC1275
unknown,YUL,,LAS,2024-04-08T09:15:00+00:00,,,Delta Air Lines,DL612
landed,YUL,C83,LAX,2024-04-08T18:00:00+00:00,2024-04-08T18:53:00+00:00,53.0,Air Canada,AC781
landed,YUL,C81,LGA,2024-04-08T10:35:00+00:00,2024-04-08T10:55:00+00:00,21.0,American Airlines,AA4550
landed,YUL,C81,LGA,2024-04-08T17:20:00+00:00,2024-04-08T17:49:00+00:00,30.0,American Airlines,AA4772
landed,YUL,,LGA,2024-04-08T20:01:00+00:00,2024-04-08T20:18:00+00:00,17.0,Air Canada,AC646
landed,YUL,C73,LGA,2024-04-08T06:30:00+00:00,2024-04-08T06:50:00+00:00,21.0,Air Canada,AC8632
landed,YUL,C83,LGA,2024-04-08T08:00:00+00:00,2024-04-08T08:19:00+00:00,20.0,Air Canada,AC8634
landed,YUL,C73,LGA,2024-04-08T10:40:00+00:00,2024-04-08T11:04:00+00:00,24.0,Air Canada,AC8636
landed,YUL,C81,LGA,2024-04-08T13:15:00+00:00,2024-04-08T13:42:00+00:00,28.0,Air Canada,AC8638
landed,YUL,C79,LGA,2024-04-08T15:20:00+00:00,2024-04-08T15:37:00+00:00,18.0,Air Canada,AC8640
landed,YUL,C82,LGA,2024-04-08T17:30:00+00:00,2024-04-08T18:01:00+00:00,31.0,Air Canada,AC8642
