Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,55,36,2024-01-08t19:05:00.000,2024-01-08t19:05:00.000,2024-01-08t19:41:00.000,cdg,2e,2024-01-09t08:05:00.000,2024-01-09t07:49:00.000,delta air lines,8612,dl8612
departure,active,yul,57,22,2024-01-08t19:05:00.000,2024-01-08t18:53:00.000,2024-01-08t19:26:00.000,ams,,2024-01-09t08:05:00.000,2024-01-09t07:32:00.000,air france,8276,af8276
departure,active,yul,a48,42,2024-01-08t19:10:00.000,2024-01-08t19:52:00.000,,yyz,1,2024-01-08t20:46:00.000,,azul,7807,ad7807
departure,active,yul,a6,27,2024-01-08t19:25:00.000,2024-01-08t19:25:00.000,2024-01-08t19:51:00.000,yyz,3,2024-01-08t21:00:00.000,2024-01-08t20:50:00.000,porter,130,p3130
departure,active,yul,a56,41,2024-01-08t19:40:00.000,2024-01-08t19:40:00.000,2024-01-08t20:20:00.000,lhr,2,2024-01-09t07:10:00.000,2024-01-09t07:10:00.000,aegean airlines,3089,a33089
departure,active,yul,a5,40,2024-01-08t19:45:00.000,2024-01-08t20:25:00.000,,yyc,,2024-01-08t22:43:00.000,,lufthansa,6844,lh6844
departure,active,yul,c79,25,2024-01-08t19:45:00.000,2024-01-08t20:10:00.000,,ord,2,2024-01-08t21:23:00.000,,united airlines,8687,ua8687
departure,active,yul,c74,49,2024-01-08t19:50:00.000,2024-01-08t20:10:00.000,2024-01-08t20:39:00.000,dca,1,2024-01-08t21:45:00.000,2024-01-08t21:57:00.000,united airlines,8366,ua8366
departure,active,yul,a47,29,2024-01-08t20:00:00.000,2024-01-08t20:00:00.000,2024-01-08t20:29:00.000,ywg,,2024-01-08t22:17:00.000,2024-01-08t22:05:00.000,lufthansa,6556,lh6556
departure,active,yul,c80,21,2024-01-08t20:00:00.000,2024-01-08t20:21:00.000,,lga,b,2024-01-08t21:38:00.000,,united airlines,8400,ua8400
departure,active,yul,c87,21,2024-01-08t20:00:00.000,2024-01-08t20:21:00.000,,ewr,a,2024-01-08t21:44:00.000,,tap air portugal,8069,tp8069
departure,active,yul,a8,25,2024-01-08t20:00:00.000,2024-01-08t20:00:00.000,2024-01-08t20:24:00.000,yhz,,2024-01-08t22:41:00.000,2024-01-08t22:46:00.000,air transat,7829,ts7829
departure,active,yul,a50,45,2024-01-08t20:10:00.000,2024-01-08t20:55:00.000,,yyz,1,2024-01-08t21:46:00.000,,eva air,3089,br3089
departure,active,yul,a61,29,2024-01-08t20:15:00.000,2024-01-08t20:15:00.000,2024-01-08t20:43:00.000,muc,2,2024-01-09t09:30:00.000,2024-01-09t09:21:00.000,air canada,9098,ac9098
departure,active,yul,a58,46,2024-01-08t20:20:00.000,2024-01-08t20:35:00.000,2024-01-08t21:05:00.000,cdg,3,2024-01-09t09:20:00.000,2024-01-09t09:23:00.000,porter airlines,7110,pd7110
departure,active,yul,a67,39,2024-01-08t20:25:00.000,2024-01-08t20:25:00.000,2024-01-08t21:03:00.000,tls,,2024-01-09t09:50:00.000,2024-01-09t09:29:00.000,lufthansa,6753,lh6753
departure,active,yul,a65,12,2024-01-08t20:30:00.000,2024-01-08t20:42:00.000,,del,3,2024-01-09t21:50:00.000,,united airlines,8041,ua8041
departure,active,yul,a52,17,2024-01-08t20:30:00.000,2024-01-08t20:30:00.000,2024-01-08t20:46:00.000,mxp,1,2024-01-09t10:25:00.000,2024-01-09t09:38:00.000,lufthansa,6757,lh6757
departure,active,yul,a66,50,2024-01-08t20:35:00.000,2024-01-08t20:35:00.000,2024-01-08t21:24:00.000,cmn,2,2024-01-09t09:10:00.000,2024-01-09t09:34:00.000,royal air maroc,209,at209
departure,active,yul,a50,151,2024-01-08t20:45:00.000,2024-01-08t23:16:00.000,,yeg,,2024-01-08t23:37:00.000,,lufthansa,6711,lh6711
departure,active,yul,a34,13,2024-01-08t20:45:00.000,2024-01-08t21:00:00.000,2024-01-08t20:58:00.000,yow,,2024-01-08t21:34:00.000,2024-01-08t21:20:00.000,lufthansa,6692,lh6692
departure,active,yul,a58,32,2024-01-08t20:45:00.000,2024-01-08t20:45:00.000,2024-01-08t21:16:00.000,lhr,5,2024-01-09t08:20:00.000,2024-01-09t08:14:00.000,finnair,5994,ay5994
departure,active,yul,a7,18,2024-01-08t20:50:00.000,2024-01-08t21:11:00.000,2024-01-08t21:08:00.000,yfc,,2024-01-08t23:03:00.000,2024-01-08t22:56:00.000,united airlines,8164,ua8164
departure,active,yul,a25,37,2024-01-08t20:50:00.000,2024-01-08t21:11:00.000,2024-01-08t21:26:00.000,yqm,,2024-01-08t23:20:00.000,2024-01-08t23:26:00.000,lufthansa,6774,lh6774
departure,active,yul,a55,41,2024-01-08t20:50:00.000,2024-01-08t21:00:00.000,2024-01-08t21:31:00.000,doh,,2024-01-09t17:00:00.000,2024-01-09t16:43:00.000,malaysia airlines,9296,mh9296
departure,active,yul,a12,25,2024-01-08t20:55:00.000,2024-01-08t20:55:00.000,2024-01-08t21:19:00.000,ytz,,2024-01-08t22:20:00.000,2024-01-08t22:18:00.000,porter,2462,p32462
departure,active,yul,a9,23,2024-01-08t21:00:00.000,2024-01-08t21:03:00.000,2024-01-08t21:22:00.000,yhz,,2024-01-08t23:36:00.000,2024-01-08t23:26:00.000,lufthansa,6594,lh6594
departure,active,yul,a9,160,2024-01-08t21:05:00.000,2024-01-08t23:45:00.000,,yyc,,2024-01-08t23:50:00.000,,lynx air,173,y9173
departure,active,yul,a60,65,2024-01-08t21:25:00.000,2024-01-08t22:30:00.000,,cdg,2b,2024-01-09t10:20:00.000,,aegean airlines,3063,a33063
departure,active,yul,a51,30,2024-01-08t21:30:00.000,2024-01-08t21:30:00.000,2024-01-08t22:00:00.000,lys,1,2024-01-09t11:00:00.000,2024-01-09t10:27:00.000,lufthansa,6729,lh6729
departure,active,yul,a49,113,2024-01-08t21:30:00.000,2024-01-08t23:23:00.000,,yyt,,2024-01-09t01:30:00.000,,lufthansa,6686,lh6686
departure,active,yul,a57,13,2024-01-08t21:45:00.000,2024-01-08t21:45:00.000,2024-01-08t21:57:00.000,lis,1,2024-01-09t09:25:00.000,2024-01-09t09:01:00.000,tap air portugal,254,tp254
departure,active,yul,a1,15,2024-01-08t21:50:00.000,2024-01-08t21:50:00.000,2024-01-08t22:05:00.000,yqb,,2024-01-08t22:48:00.000,2024-01-08t22:33:00.000,lufthansa,6640,lh6640
departure,active,yul,a56,0,2024-01-08t21:50:00.000,2024-01-08t21:45:00.000,2024-01-08t21:47:00.000,amm,,2024-01-09t16:10:00.000,2024-01-09t15:37:00.000,royal jordanian,272,rj272
departure,active,yul,a48,140,2024-01-08t22:00:00.000,2024-01-09t00:20:00.000,,yyz,1,2024-01-08t23:36:00.000,,air canada,429,ac429
departure,active,yul,a64,49,2024-01-08t23:10:00.000,2024-01-08t23:59:00.000,,mex,2,2024-01-09t04:35:00.000,,latam airlines,7599,la7599
departure,active,yul,,41,2024-01-08t19:45:00.000,2024-01-08t20:26:00.000,,ord,,2024-01-08t21:08:00.000,,air canada,967,ac967
departure,active,yul,,14,2024-01-08t20:00:00.000,2024-01-08t20:21:00.000,2024-01-08t20:13:00.000,lga,,2024-01-08t21:31:00.000,2024-01-08t21:03:00.000,air canada,646,ac646
departure,active,yul,,26,2024-01-08t20:00:00.000,2024-01-08t20:21:00.000,2024-01-08t20:25:00.000,ewr,,2024-01-08t21:19:00.000,2024-01-08t21:25:00.000,air canada,946,ac946
departure,active,yul,a2,43,2024-01-09t05:00:00.000,2024-01-09t05:30:00.000,2024-01-09t05:43:00.000,yyz,1,2024-01-09t06:34:00.000,2024-01-09t06:41:00.000,air canada,7773,ac7773
departure,active,yul,a1,15,2024-01-09t06:00:00.000,2024-01-09t05:57:00.000,2024-01-09t06:14:00.000,yyz,1,2024-01-09t07:40:00.000,2024-01-09t07:16:00.000,air canada,481,ac481
departure,active,yul,c87,16,2024-01-09t06:00:00.000,2024-01-09t06:10:00.000,2024-01-09t06:16:00.000,dtw,em,2024-01-09t08:20:00.000,2024-01-09t07:44:00.000,aeromexico,4327,am4327
departure,active,yul,a52,11,2024-01-09t06:00:00.000,2024-01-09t06:00:00.000,2024-01-09t06:10:00.000,ccc,,2024-01-09t10:00:00.000,2024-01-09t09:41:00.000,sunwing,6204,wg6204
departure,active,yul,a59,23,2024-01-09t06:00:00.000,2024-01-09t06:00:00.000,2024-01-09t06:22:00.000,vra,,2024-01-09t10:00:00.000,2024-01-09t09:49:00.000,sunwing,6286,wg6286
departure,active,yul,,2,2024-01-09t06:00:00.000,,2024-01-09t06:02:00.000,ygk,,2024-01-09t07:00:00.000,2024-01-09t06:46:00.000,air creebec,703,yn703
departure,active,yul,c80,16,2024-01-09t06:05:00.000,2024-01-09t06:05:00.000,2024-01-09t06:21:00.000,ord,2,2024-01-09t08:15:00.000,2024-01-09t07:20:00.000,air canada,3054,ac3054
departure,active,yul,c88,12,2024-01-09t06:30:00.000,2024-01-09t06:46:00.000,2024-01-09t06:41:00.000,lga,c,2024-01-09t08:21:00.000,2024-01-09t07:41:00.000,westjet,7787,ws7787
departure,active,yul,c56,32,2024-01-09t06:30:00.000,2024-01-09t06:40:00.000,2024-01-09t07:02:00.000,fll,4,2024-01-09t10:20:00.000,2024-01-09t10:15:00.000,porter airlines,7844,pd7844
